🇹🇼台灣新聞,#genre#
南投新聞網,http://58.99.33.16:1935/liveedge17/live_853_3.stream/chunklist.m3u8
鏡新聞,https://ghproxy.com/https://raw.githubusercontent.com/eddyyung/TV/main/TV70.m3u8
八大電視,
三立新聞,https://ghproxy.com/https://raw.githubusercontent.com/eddyyung/TV/main/TV75.m3u8
寰宇新聞,https://ghproxy.com/https://raw.githubusercontent.com/eddyyung/TV/main/TV76.m3u8
Taiwan+,https://ghproxy.com/https://raw.githubusercontent.com/eddyyung/TV/main/TV78.m3u8
年代新聞,https://epg.pw/stream/c3609d834117254233e7a39683da47cd26fac89c2f2b10f24be0819a4d87364e.m3u8
年代新聞,https://epg.pw/stream/c3609d834117254233e7a39683da47cd26fac89c2f2b10f24be0819a4d87364e.m3u8
年代新聞,https://epg.pw/stream/e0c88a9fca2281e358877455a0324a69871088e1fecb2fa1b03ad212dfcefcc8.m3u8
年代新聞,https://epg.pw/stream/69d164a61dca4dbfce274c0bb44d748584064a9e9d9f493864f03fb44fc2d0eb.m3u8
壹新聞,http://dispatch.52glb.com/v/live/cfxwzsgnhnls.m3u8?stream_id=cfxwzsgnhnls&timestamp=1683695957&rand=1pqF8TQvZx&uuid=9b647b3816b2a66a&from=web&sign=21ebec17c316a163c1131e69f424bccc
東森新聞,http://61.221.81.93:8078/hls/33/80/ebcnews.m3u8



🇹🇼台灣電視,#genre#
中視,rtmp://119.81.124.89/sat/tv091
中視1,https://raw.githubusercontent.com/ChiSheng9/iptv/master/TV42.m3u8
華視,rtmp://119.81.124.89/sat/tv111
中視,rtmp://219.80.97.77/sat/tv091
華視,rtmp://219.80.97.77/sat/tv111
華視1,https://raw.githubusercontent.com/ChiSheng9/iptv/master/TV12.m3u8
臺灣番薯台,http://61.216.67.119:1935/TWHG/E1/chunklist_w70581102.m3u8
臺灣番薯台,http://61.216.67.119:1935/TWHG/E1/chunklist_w7058102.m3u8
臺灣番薯台,http://61.216.67.119:1935/TWHG/E1/chunklist_w705811302.m3u8
東森美洲,http://38.64.72.148:80/hls/modn/list/2015/chunklist0.m3u8
東森美洲,http://38.64.72.148:80/hls/modn/list/2015/chunklist1.m3u8
東森美洲,http://38.64.72.148/hls/modn/list/2015/chunklist0.m3u8
華語電視3,http://38.64.72.148:80/hls/modn/list/4003/chunklist0.m3u8
華語電視3,http://38.64.72.148:80/hls/modn/list/4003/chunklist1.m3u8
NHK,http://123.51.230.108:18525/.m3u8
TVBS亞洲,http://38.64.72.148:80/hls/modn/list/4005/playlist.m3u8
TVBS亞洲,http://38.64.72.148:80/hls/modn/list/4005/chunklist0.m3u8
TVBS亞洲,http://38.64.72.148:80/hls/modn/list/4005/chunklist1.m3u8
民視台灣台,https://p-hebe.svc.litv.tv/hi/vod/Dw0GAxg0smQ/4gtv-4gtv001-avc1_6000000=1-mp4a_140000=2.m3u8
TVBS,https://epg.pw/stream/f2e6d6859a5b6f3f650cb5db381b8244a0e6d3c06ce11efc79a0ae6b82e00357.ctv
Discovery,https://epg.pw/stream/ef358c68b0552316ecb9f815af63e094bafad6c3974cb4b838290f3fd2425e79.m3u8
靖天電視台,https://epg.pw/stream/27bcc1a4e7cc63774ef84000114ab365a79deac4ea1ce4d6b2823ca7e1853fca.m3u8
靖天國際台,https://epg.pw/stream/5cfa00da942a231240046b17bc397b93b571d96376694fbc2c2a5ffc33ea9d12.m3u8
🇹🇼台灣綜藝,#genre#
中天亞洲,http://185.243.7.13/play/live.php?mac=00:1A:79:BF:D2:44&extension=ts&play_token=1pLS8RVt8V&stream=941638
衛視中文台 HD,http://185.243.7.13/play/live.php?mac=00:1A:79:BF:D2:44&extension=ts&play_token=1pLS8RVt8V&stream=941624
東森衛視 HD,http://185.243.7.13:80/play/live.php?mac=00:1A:79:45:5E:9A&stream=156394&extension=ts&play_token=UEKTIim7lP
TVBS歡樂,rtmp://119.81.124.89/sat/tv421
台灣1001個故事,https://p-hebe.svc.litv.tv/hi/vod/n-RtSi5TCKs/litv-show-vod11030-000567M001-video_eng=5938000-audio_eng=128529.m3u8
綜藝玩很大,https://p-hebe.svc.litv.tv/hi/vod/rKAf11MeUN8/litv-show-vod31571-000390M001-video_eng=5937000-audio_eng=128508.m3u8
緯來育樂,rtmp://219.80.97.77/sat/tv701
ELEVEN1,rtmp://219.80.97.77/sat/tv731
ELEVEN2,rtmp://219.80.97.77/sat/tv741
MOMO綜合,rtmp://219.80.97.77/sat/tv761
緯來日本,rtmp://219.80.97.77/sat/tv771
民視第一台,rtmp://219.80.97.77/sat/md031
民視第一台,rtmp://219.80.97.77/sat/md041
民視第一台,rtmp://219.80.97.77/sat/md051
TVBS新聞,rtmp://219.80.97.77/sat/tv551
TVBS歡樂,rtmp://219.80.97.77/sat/tv421
東森戲劇,http://123.51.230.108:18538/.m3u8
八大第一 HD,http://123.51.230.108:18539/.m3u8
八大第一 HD,http://123.51.229.65:18539/.m3u8
八大第一 HD,http://220.134.196.147:9531/index.m3u8
緯來綜合 HD,http://123.51.230.108:18540/.m3u8
緯來綜合 HD,http://123.51.229.65:18540/.m3u8
緯來綜合 HD,http://60.251.33.252:18540/.m3u8
緯來育樂,http://123.51.230.108:18541/.m3u8
東風37,http://123.51.230.108:18560/.m3u8
東風37,http://123.51.230.108:18561/.m3u8
MOMO2台,https://ghproxy.com/https://raw.githubusercontent.com/eddyyung/TV/main/TV05.m3u8
天才衝衝衝,https://ghproxy.com/https://raw.githubusercontent.com/eddyyung/TV/main/TV26.m3u8
亞洲旅遊台,https://p-hebe.svc.litv.tv/hi/vod/4GLFrpnUFxE/litv-longturn17-audio_20000=128000-video=5936000.m3u8
食尚玩家,https://p-hebe.svc.litv.tv/hi/vod/ANA8aHhNLSg/litv-show-vod26923-000443M001-video_eng=5940000-audio_eng=128462.m3u8
三立都會台,https://epg.pw/stream/be38f112f8b52bcaa1b05b9665f03285ee2c7cc21e6e4147597d19452a5e92ce.m3u8
三立台灣台,https://epg.pw/stream/306cd8fabbf7aa6a0002947dced768220d9f61c86638e8bc0aeb848b062f7571.m3u8
八大戲劇台,https://epg.pw/stream/feca63415c79213cac7f756693cdc0a62b38cf74a3258d4bf0e8eb80cc98badc.m3u8
龍華戲劇台,https://epg.pw/stream/68d82667c95bfce30b2ec39c05de894035e14289bbf2cbc48fd54ec5576dc053.m3u8
龍華偶像台,https://epg.pw/stream/871914d4450c9e93802199f9f30e278a8ed85b5bbe10c5568a73836e91b0ad90.m3u8
龍華戲劇台,https://epg.pw/stream/1ed42eebce055fad15cf86491f319c4e0a868a89ca653c80345bbc1e7ec9b28a.m3u8
龍華戲劇台,https://epg.pw/stream/7c89e7f65e339f593cb5f7f59ebae8ab1bd5308429739929c7543a11b69c69a8.m3u8
龍華戲劇台,https://epg.pw/stream/80be65e1ccecaa3280b4ceed6609057f9583eed563f532729c2921573b8c8e86.m3u8
🇹🇼台灣體育,#genre#
緯來體育,rtmp://219.80.97.77/sat/tv721
緯來育樂,rtmp://119.81.124.89/sat/tv701
緯來體育,rtmp://119.81.124.89/sat/tv721
ELEVEN1,rtmp://119.81.124.89/sat/tv731
ELEVEN2,rtmp://119.81.124.89/sat/tv741
MOMO綜合,rtmp://119.81.124.89/sat/tv761
緯來日本,rtmp://119.81.124.89/sat/tv771
博斯網球,rtmp://119.81.124.89/sat/md031
ELEVEN1,http://61.221.81.93:8078/hls/25/80/esport.m3u8
ELEVEN2,http://61.221.81.93:8078/hls/26/80/esport2.m3u8
緯來體育,http://123.51.230.108:18509/.m3u8
愛爾達體育2台,rtmp://9wv7.mine.nu/sat/md021
愛爾達體育1台,https://epg.pw/stream/dc4b1f3d338d0d80f7a9ace70c31843b1adfea1c8b51c7bc614dcb84825b3c7a.m3u8
愛爾達體育2台,rtmp://119.81.124.89/sat/md021
愛爾達體育2台,rtmp://219.80.97.77/sat/md021
愛爾達體育1台,https://epg.pw/stream/100a5aed4e01db84db6e3c0bef8a4f30a294b70b272d6e6bb3bc49ffd1544215.m3u8
愛爾達體育2台,rtmp://219.80.97.77/sat/md051


🇹🇼台灣財經,#genre#
東森財經新聞,rtmp://219.80.97.77/sat/tv571
東森財經新聞,https://raw.githubusercontent.com/ChiSheng9/iptv/master/TV03.m3u8
東森財經新聞,https://ytm2.yuanhsing.cf/EBCFinancial.m3u8
東森財經新聞,http://60.251.33.252:18515/.m3u8
東森財經新聞,rtmp://119.81.124.89/sat/tv571
東森財經新聞,http://123.51.230.108:18515/.m3u8
非凡新聞,https://epg.pw/stream/2a5a6fcea2585f9f03bf61e6a4eb02ff458bb8ef587e4fd78b7c47cc728418ff.m3u8
非凡新聞,https://epg.pw/stream/e811c039eb5f7f43408862e91b5fc01a2a7120eed7e45369e37149254db71243.m3u8
非凡新聞,https://epg.pw/stream/a7cb299c88ce7163de4ea91ccea8f6c3629cc002c9347ff7148ba516220de25a.m3u8
非凡新聞,https://epg.pw/stream/360da1320f1580db28876f3d4db1b7dc21867de89f0d903a32a908b6d6257e90.m3u8

🇹🇼台灣電影,#genre#
龍華洋片台,https://epg.pw/stream/983176d04dfe921eadca02d6295ab0cf0e8c49e004c68f58b60935721e38154c.m3u8
龍祥時代,http://120.84.96.73:808/hls/35/index.m3u8
龍祥時代,http://120.84.96.89:808/hls/35/index.m3u8
龍祥時代,http://120.84.96.108:808/hls/35/index.m3u8
龍祥時代,http://107.151.203.111:2209/135/hk.php?id=lxsdt
衛視電影台,http://185.243.7.13:80/play/live.php?mac=00:1A:79:45:5E:9A&stream=941625&extension=ts&play_token=UX6nxpu1TT
天映經典,http://120.84.96.73:808/hls/85/index.m3u8
天映經典,http://120.84.96.89:808/hls/85/index.m3u8
天映經典,http://107.151.203.111:2209/135/hk.php?id=ccmt
天映頻道,http://210.210.155.35:80/dr9445/h/h14/02.m3u8
東森洋片 HD,http://120.84.96.73:808/hls/33/index.m3u8
東森洋片 HD,http://120.84.96.89:808/hls/33/index.m3u8
東森洋片 HD,http://120.84.96.108:808/hls/33/index.m3u8
東森洋片 HD,http://120.84.96.23:808/hls/33/index.m3u8
東森洋片 HD,http://120.84.96.87:808/hls/33/index.m3u8
東森洋片 HD,http://107.151.203.111:2209/135/hk.php?id=dsypt
美亞電影[1280x720][20230418],https://epg.pw/stream/a3bc84227079241a67196b79f3d90384036fe9fe731c31c17ec59c278e1aeeb5.m3u8
星衛電影台 HD,http://23.237.10.66:16359
華語電影台,https://p-hebe.svc.litv.tv/hi/vod/kDDDCYOclic/litv-repub1-vod43406-000000M001-video_eng=5824000-audio_eng=128361.m3u8

🇹🇼台灣18+,#genre#
彩虹e臺[1280x720][20230418],https://epg.pw/stream/90af490c68b9f9a1fdc8249f300db63b3178181605b5bff3a432247eaf96ed76.m3u8
彩虹電影[1280x720][20230418],https://epg.pw/stream/d9637c3b0367fd7bc6af5e8161283ee5592492e51a397e3ccbd5e1fef45844e6.m3u8

🇹🇼台灣其他,#genre#
卫视中文台,http://flv.mp4cdn.live/gt-key=00569874.php?id=109
卫视电影台,http://flv.mp4cdn.live/gt-key=00569874.php?id=114
大爱,https://pulltv1.wanfudaluye.com/live/tv1.m3u8
大爱2,https://pulltv2.wanfudaluye.com/live/tv2.m3u8
东风卫视,http://123.51.230.108:18560/.m3u8
好莱堡电影,http://120.84.96.109:808/hls/24/index.m3u8
东森电影,http://120.84.96.109:808/hls/32/index.m3u8
东森洋片,http://120.84.96.109:808/hls/33/index.m3u8
民视HD,http://120.84.96.109:808/hls/34/index.m3u8
龙祥时代,http://120.84.96.109:808/hls/35/index.m3u8
84频道,http://120.84.96.109:808/hls/84/index.m3u8
CCM,http://120.84.96.109:808/hls/85/index.m3u8
HBO家庭，http://flv.mp4cdn.live/gt-key=00569874.php?id=99
AXN,http://flv.mp4cdn.live/gt-key=00569874.php?id=102
CINEMAX,http://flv.mp4cdn.live/gt-key=00569874.php?id=101
好莱堡电影,http://flv.mp4cdn.live/gt-key=00569874.php?id=100
纬来电影台,http://flv.mp4cdn.live/gt-key=00569874.php?id=103
东森洋片,http://flv.mp4cdn.live/gt-key=00569874.php?id=105
东森戏,http://flv.mp4cdn.live/gt-key=00569874.php?id=106
东森戏,http://162.19.247.76:22222/live/dsxj/index.m3u8
东森新闻,https://2022.stream-link.org/list.php?id=t001
东森财经,https://2022.stream-link.org/list.php?id=t002
东森yoyo,https://2022.stream-link.org/list.php?id=t026
龙华戏,http://123.51.230.108:8509/.m3u8
龙华洋片,http://flv.mp4cdn.live/gt-key=00569874.php?id=107
天映频道,http://flv.mp4cdn.live/gt-key=00569874.php?id=110
天映经典,http://flv.mp4cdn.live/gt-key=00569874.php?id=111
星卫电影台,http://flv.mp4cdn.live/gt-key=00569874.php?id=112
美亚电影台,http://flv.mp4cdn.live/gt-key=00569874.php?id=113
民视新闻,http://123.51.230.108:18663/.m3u8
台视新闻,https://2022.stream-link.org/list.php?id=t012
対宇国际新闻，https://2022.stream-link.org/list.php?id=t007
対宇台湾新闻，https://2022.stream-link.org/list.php?id=t008
三立财经新闻,https://2022.stream-link.org/list.php?id=t009
三立新闻,https://2022.stream-link.org/list.php?id=t010
三立新闻+,https://2022.stream-link.org/list.php?id=t011
中天新闻,https://2022.stream-link.org/list.php?id=t003
中天综合台,https://2022.stream-link.org/list.php?id=t015
中天亚洲,https://2022.stream-link.org/list.php?id=t016
天才冲冲,https://2022.stream-link.org/list.php?id=t025
